Feature,Importance
num__PV_kWac,0.5217675840792991
num__PV_kWdc,0.4182411110857891
cat__City_STATEN ISLAND,0.019643457087296423
cat__Connection_Date_2011-11-01 00:00:00,0.013494875773375275
cat__Circuit_ID_JA NWK,0.011878823500249248
num__Connection_Year,0.007135882744608814
cat__Connection_Date_2018-07-01 00:00:00,0.002782463254368114
cat__Developer_Vivint Solar,0.0017672801674298183
cat__County_Suffolk,0.0012400048644177334
cat__Utility_PSEGLI,0.0003869005763057284
cat__Connection_Date_2019-04-25 00:00:00,0.0002462660752745034
cat__Connection_Date_2016-05-31 00:00:00,0.00023745009634157634
num__Connection_Month,0.00022118619802383076
cat__Metering Method_FIT,0.0001883433776078137
cat__Substation_8DR,0.00016609611164516096
cat__Developer_Sybac Solar_ LLC,0.00012387550603897455
num__Zip,0.0001223146886564364
cat__City_Shoreham,0.00012151089782396579
cat__City_Manorville,0.00010670827694627583
cat__Developer_Silverado,5.6531229779720775e-05
cat__Circuit_ID_8DR425,4.976594053048661e-05
num__Connection_Day,2.3555001708895164e-06
cat__Division_Newburgh,1.5840851699907207e-06
cat__Utility_RGE,5.272567003215395e-07
cat__County_Wayne,5.197761544773819e-07
cat__Substation_8RX,5.181511793290684e-07
cat__Circuit_ID_8RX744,5.058251664702978e-07
cat__Division_020-Oneida,4.721246595371972e-07
cat__Connection_Date_2022-12-28 00:00:00,4.152183980592558e-07
cat__Circuit_ID_36_23_77352,4.0178504980203336e-07
cat__Utility_Central Hudson,3.814211318183945e-07
cat__Connection_Date_2021-09-10 00:00:00,3.773512416597264e-07
cat__Circuit_ID_36_20_51452,3.5062405844232844e-07
cat__Developer_Mark Richardson (Solitude Solar LLC),3.1490334177452173e-07
cat__County_Onondaga,2.9107446585914305e-07
"cat__Developer_Sterling Power Opportunities, LLC",2.790454419675913e-07
cat__County_Orange,2.7814013864319754e-07
cat__City_Newburgh,2.774216083983188e-07
cat__Utility_NYSEG,2.588083242135755e-07
"cat__Developer_Kendall Sustainable Infrastructure, LLC",2.513141234950734e-07
cat__Circuit_ID_4027,2.4737655012365793e-07
cat__City_LOWVILLE,2.450259642703769e-07
cat__Developer_EnterSolar,2.3334297122636966e-07
cat__Substation_WEAVER ST 245,2.1207868019579924e-07
cat__Connection_Date_2021-11-30 00:00:00,2.1111775382092422e-07
cat__Substation_SOUTHWOOD 244,1.9369833162108516e-07
cat__Utility_Con Ed,1.8868074910287023e-07
cat__City_SCHENECTADY,1.837061092308171e-07
cat__Utility_National Grid,1.8287456274833992e-07
cat__Circuit_ID_0168CF5190,1.7603133249732476e-07
cat__Substation_Coldenham,1.6210260041145675e-07
cat__Circuit_ID_8102802,1.5589808909120664e-07
cat__Division_011 - Syracuse,1.549179211027624e-07
cat__Metering Method_CDG,1.497661380193903e-07
cat__City_Castle Creek,1.4312814981026083e-07
cat__Connection_Date_2022-06-28 00:00:00,1.4281751583222656e-07
cat__Connection_Date_2022-12-20 00:00:00,1.4183717650751475e-07
cat__Connection_Date_2023-10-17 00:00:00,1.3905158486444545e-07
cat__County_Saratoga,1.3733673967823936e-07
"cat__Developer_Generate Capital, Inc",1.3147020045674926e-07
cat__City_Jordan,1.3036941465935955e-07
cat__Circuit_ID_3004,1.2885396155529303e-07
cat__Connection_Date_2020-12-28 00:00:00,1.2823645753771219e-07
cat__Connection_Date_2023-12-29 00:00:00,1.280756554580717e-07
cat__Division_CENY-Q,1.2658354004625768e-07
